date,equity,day_pnl,positions_flattened,orders_cancelled
2026-07-10,100150.00,150.00,2,1
2026-07-13,100095.00,-55.00,1,0
2026-07-10,100100.00,100.00,1,0
2026-07-17,99793.22,-206.78,2,2
2026-07-21,99793.43,0.00,0,0,0
2026-07-22,99637.84,-155.59,0,0,0
2026-07-23,99637.84,99637.84,0,0,0
2026-07-24,99886.54,248.79,3,3,0
2026-07-27,100715.02,804.18,0,0,0
2026-07-28,100714.93,0.00,0,0,0
2026-07-29,100714.93,0.00,0,0,0
2026-07-30,100714.93,0.00,0,0,0
2026-07-31,100714.93,0.00,0,0,0
2026-08-03,100714.93,0.00,0,0,0
2026-08-04,101393.65,678.72,2,2,0
2026-08-05,101393.62,0.00,0,0,0
2026-08-07,102345.18,873.66,0,0,0
2026-08-10,102434.85,91.88,0,0,0
2026-08-11,102433.47,0.00,0,0,0
2026-08-12,102433.47,0.00,0,0,0
2026-08-13,102126.49,-306.98,0,0,0
2026-08-14,101563.49,-561.71,0,0,0
2026-08-17,101562.19,0.00,0,0,0
2026-08-18,101562.19,0.00,0,0,0
2026-08-19,101562.19,0.00,0,0,0
2026-08-20,101562.19,0.00,0,0,0
2026-08-21,101562.19,0.00,0,0,0
