strategy,cutoff_et,min_or_width_frac,open_bars,regime_filter,rr,rs_topk,side,vol_confirm,train_trades,train_exp_r,train_pf,chop_filter,stop_sigmas,time_stop_bars,z_entry,hold_above,stop_lookback
orb,10:30,,3.0,False,1.5,,long,False,2652,0.003,0.962,,,,,,
orb,10:30,,3.0,False,1.5,5.0,long,False,834,-0.032,0.895,,,,,,
orb,10:30,,3.0,False,2.0,,long,False,2652,-0.003,0.955,,,,,,
orb,10:30,,3.0,False,2.0,5.0,long,False,834,-0.037,0.881,,,,,,
orb,10:30,,3.0,True,1.5,,long,False,1916,0.082,1.217,,,,,,
orb,10:30,,3.0,True,1.5,5.0,long,False,527,0.098,1.325,,,,,,
orb,10:30,,3.0,True,2.0,,long,False,1916,0.078,1.201,,,,,,
orb,10:30,,3.0,True,2.0,5.0,long,False,527,0.088,1.279,,,,,,
orb,10:30,0.004,3.0,False,1.5,,long,False,2330,-0.006,0.953,,,,,,
orb,10:30,0.004,3.0,False,1.5,5.0,long,False,827,-0.026,0.899,,,,,,
orb,10:30,0.004,3.0,False,2.0,,long,False,2330,-0.013,0.944,,,,,,
orb,10:30,0.004,3.0,False,2.0,5.0,long,False,827,-0.031,0.886,,,,,,
orb,10:30,0.004,3.0,True,1.5,,long,False,1627,0.073,1.21,,,,,,
orb,10:30,0.004,3.0,True,1.5,5.0,long,False,522,0.105,1.334,,,,,,
orb,10:30,0.004,3.0,True,2.0,,long,False,1627,0.066,1.191,,,,,,
orb,10:30,0.004,3.0,True,2.0,5.0,long,False,522,0.095,1.288,,,,,,
vwap_revert,,,,,,,long,,5411,-0.109,0.859,False,1.0,12.0,1.5,,
vwap_revert,,,,,,,long,,4994,-0.09,0.898,False,1.0,12.0,2.0,,
vwap_revert,,,,,,,long,,4548,-0.074,0.927,False,1.0,12.0,2.5,,
vwap_revert,,,,,,,long,,5411,-0.112,0.854,False,1.0,24.0,1.5,,
vwap_revert,,,,,,,long,,4994,-0.087,0.895,False,1.0,24.0,2.0,,
vwap_revert,,,,,,,long,,4548,-0.069,0.925,False,1.0,24.0,2.5,,
vwap_revert,,,,,,,long,,5413,-0.072,0.902,False,1.5,12.0,1.5,,
