symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason,side
AAPL,strategy10_scalp,2026-07-23,09:37:00,10:31:00,321.89,322.1521,62,323.9059,0.0,-16.25,-0.13,trail_stop,pdl_break_retest_short,short
AAPL,strategy10_scalp,2026-07-23,12:29:00,13:50:00,320.385,321.3359,62,321.366,0.0,-58.96,-0.969,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-07-24,09:33:00,12:49:00,324.92,332.955,61,322.905,0.0,490.14,3.988,trail_stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-27,09:39:00,11:40:00,335.83,337.265,59,333.095,0.0,84.67,0.525,trail_stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-27,11:45:00,12:55:00,338.3,336.015,59,335.845,0.0,-134.81,-0.931,trail_stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-28,09:36:00,09:37:00,339.9575,339.005,58,339.015,0.0,-55.24,-1.011,stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-28,10:10:00,10:23:00,336.65,338.275,59,338.265,0.0,-95.87,-1.006,stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-07-29,09:49:00,10:17:00,343.09,341.491,58,341.501,0.0,-92.74,-1.006,stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-29,13:43:00,15:00:00,343.3499,342.721,58,342.161,0.0,-36.48,-0.529,trail_stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-07-30,09:47:00,09:51:00,331.53,332.742,60,332.732,0.0,-72.72,-1.008,stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-03,10:07:00,10:14:00,304.45,306.249,65,306.239,0.0,-116.94,-1.006,stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-04,09:57:00,15:06:00,305.19,308.416,65,303.566,0.0,209.69,1.986,trail_stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2026-08-05,10:29:00,10:42:00,307.18,308.57,65,308.56,0.0,-90.35,-1.007,stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-05,10:58:00,11:18:00,311.12,309.5,64,309.51,0.0,-103.68,-1.006,stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-08-06,10:16:00,12:20:00,313.03,310.5839,63,314.334,0.0,154.1,1.876,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-06,13:59:00,15:50:00,312.055,312.45,64,311.106,0.0,25.28,0.416,eod_flat,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-08-07,10:35:00,11:20:00,314.28,313.0941,63,313.1041,0.0,-74.71,-1.009,stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2026-08-11,09:39:00,11:42:00,306.66,306.9049,65,307.775,0.0,-15.92,-0.22,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-11,15:00:00,15:15:00,304.335,304.985,65,304.975,0.0,-42.25,-1.016,stop,pdl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-12,10:17:00,12:51:00,302.375,301.937,66,303.508,0.0,28.91,0.387,trail_stop,pdl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-12,13:46:00,15:50:00,301.74,301.59,66,302.898,0.0,9.9,0.13,eod_flat,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-13,09:41:00,09:42:00,304.6,303.741,65,303.751,0.0,-55.83,-1.012,stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2026-08-14,09:34:00,10:14:00,306.8501,305.595,65,305.605,0.0,-81.58,-1.008,stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-08-14,10:26:00,11:22:00,304.82,305.5972,65,305.955,0.0,-50.52,-0.685,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-17,09:55:00,11:11:00,305.4401,304.699,65,306.049,0.0,48.17,1.217,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-17,13:26:00,13:33:00,304.07,304.629,65,304.619,0.0,-36.34,-1.018,stop,pdl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-18,10:04:00,11:00:00,308.93,310.1779,64,307.4779,0.0,79.87,0.859,trail_stop,orh_break_retest_long,long
AAPL,strategy10_scalp,2026-08-19,09:40:00,10:23:00,312.27,315.765,64,310.915,0.0,223.68,2.579,trail_stop,pdh_break_retest_long,long
AAPL,strategy10_scalp,2026-08-20,11:18:00,15:50:00,316.15,312.68,63,317.6341,0.0,218.61,2.338,eod_flat,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-21,09:51:00,10:43:00,307.122,308.653,65,308.643,0.0,-99.52,-1.007,stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-08-21,13:43:00,15:29:00,310.08,309.853,64,311.613,0.0,14.53,0.148,trail_stop,pdl_break_retest_short,short
AMD,strategy10_scalp,2026-07-23,09:43:00,09:58:00,555.285,548.434,36,548.444,0.0,-246.64,-1.001,stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-07-23,11:17:00,12:25:00,539.99,544.1859,37,545.536,0.0,-155.25,-0.757,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-24,09:41:00,10:58:00,537.02,529.659,37,543.719,0.0,272.36,1.099,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-24,15:08:00,15:50:00,521.385,524.165,38,528.149,0.0,-105.64,-0.411,eod_flat,pdl_break_retest_short,short
AMD,strategy10_scalp,2026-07-27,09:41:00,12:04:00,513.82,484.7081,38,521.1,0.0,1106.25,3.999,trail_stop,pdl_break_retest_short,short
AMD,strategy10_scalp,2026-07-28,09:43:00,10:50:00,454.6508,454.617,43,462.907,0.0,1.45,0.004,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-29,10:00:00,12:30:00,440.645,430.5267,45,445.318,0.0,455.32,2.165,trail_stop,pdl_break_retest_short,short
AMD,strategy10_scalp,2026-07-29,15:18:00,15:50:00,444.54,434.77,44,450.518,0.0,429.88,1.634,eod_flat,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-30,09:35:00,10:53:00,461.55,488.1812,43,453.9012,0.0,1145.14,3.482,trail_stop,pdh_break_retest_long,long
AMD,strategy10_scalp,2026-08-03,10:06:00,11:28:00,468.02,478.1041,42,460.744,0.0,423.53,1.386,trail_stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-08-04,09:46:00,09:56:00,513.95,507.9154,38,507.9254,0.0,-229.32,-1.002,stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-08-05,09:49:00,09:52:00,499.47,491.797,40,491.807,0.0,-306.92,-1.001,stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-08-06,10:00:00,10:46:00,482.525,484.72,41,478.5,0.0,90.0,0.545,trail_stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-08-07,09:47:00,12:05:00,488.09,484.0148,40,492.482,0.0,163.01,0.928,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-08-10,09:34:00,09:47:00,474.69,478.363,42,478.353,0.0,-154.27,-1.003,stop,pdl_break_retest_short,short
AMD,strategy10_scalp,2026-08-10,09:50:00,09:55:00,479.1,475.582,41,475.592,0.0,-144.24,-1.003,stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-08-11,09:33:00,10:01:00,466.29,468.627,42,470.697,0.0,-98.15,-0.53,trail_stop,pdl_break_retest_short,short
AMD,strategy10_scalp,2026-08-11,15:38:00,15:50:00,475.75,474.73,42,473.583,0.0,-42.84,-0.471,eod_flat,orh_break_retest_long,long
AMD,strategy10_scalp,2026-08-12,10:27:00,10:55:00,490.495,487.512,40,487.522,0.0,-119.32,-1.003,stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-08-13,09:40:00,10:19:00,494.36,491.669,40,490.6089,0.0,-107.64,-0.717,trail_stop,pdh_break_retest_long,long
AMD,strategy10_scalp,2026-08-13,15:16:00,15:30:00,488.25,486.409,40,486.419,0.0,-73.64,-1.005,stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-08-14,09:56:00,11:22:00,499.26,502.75,40,496.291,0.0,139.6,1.175,trail_stop,pdh_break_retest_long,long
AMD,strategy10_scalp,2026-08-17,11:09:00,12:11:00,516.6,511.513,38,511.523,0.0,-193.31,-1.002,stop,pdh_break_retest_long,long
AMD,strategy10_scalp,2026-08-18,09:55:00,11:28:00,481.3131,479.2929,41,486.5329,0.0,82.83,0.387,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-08-20,11:24:00,15:02:00,464.3057,464.5155,43,468.0005,0.0,-9.02,-0.057,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-08-21,09:45:00,11:15:00,471.93,468.556,42,474.866,0.0,141.71,1.149,trail_stop,orl_break_retest_short,short
